Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,Gas flaring,GCP,CO2,,,,,,,2.345,2.7959,2.8762,2.8323,2.8103,2.8433,2.7443,3.1291,3.0631,3.9022,5.2837,5.4079,6.2508,6.5989,6.1555,5.1443,5.5951,5.1956,7.1487,6.1883,4.8035,4.7779,5.8699,6.2618,4.7852,4.1037,3.9974,4.7525,5.7377,5.4119,5.778,3.3232,2.1398,1.4949,1.0589,1.0882,1.4473,1.9346,1.4216,1.1578,1.1981,1.4583,1.4619,1.5316,1.4912,1.4693,1.5535,1.8869,1.6488,1.8796,1.8980000000000001,1.8063,1.8467,1.8467,1.8467
Argentina,ARG,Oil,GCP,CO2,41.1907,42.1213,45.0782,40.6448,45.2071,47.3242,48.57,49.7773,52.5601,60.5732,63.9258,69.3192,69.2972,71.2098,71.4517,68.9125,71.8683,72.7021,72.8989,79.0728,76.508,70.0593,69.0322,68.6744,67.2367,60.4355,62.2001,66.454,66.2325,59.7525,59.1883,61.2328,63.6327,67.1543,67.2031,62.8357,65.9209,66.868,69.5757,72.7249,67.434,64.3362,57.4972,59.3568,67.8117,71.7997,81.9124,77.9516,88.6578,82.3814,90.1454,86.9081,85.5874,87.4873,84.292,86.954,84.5558,80.8556,74.3939,67.1486,61.9646
Argentina,ARG,Total fossil fuels and cement,GCP,CO2,48.7645,51.1267,53.6401,50.0327,55.67,58.8048,63.0727,65.476,69.0092,77.2489,82.648,88.8471,90.0666,93.9759,95.4804,94.8455,99.6992,100.7059,102.5556,110.6161,108.6561,101.9685,103.3511,105.14200000000001,106.4517,100.5312,104.1501,114.8772,121.4047,117.0204,112.0791,117.5057,121.2306,117.7775,122.229,127.7649,134.7621,137.6415,139.4519,147.2851,142.3583,134.0039,124.3923,134.631,157.0434,161.4342,174.609,174.2458,188.106,178.9492,186.7331,190.2738,191.7148,190.1334,188.6571,192.40599999999998,190.9772,187.8047,181.0996,167.5656,156.9781
Armenia,ARM,Cement,GCP,CO2,0.08956,0.1002,0.11308,0.12052,0.12843,0.14337,0.15864,0.16831,0.17402,0.1788,0.1899,0.20285999999999998,0.21386,0.22765,0.24270999999999998,0.26081,0.26584,0.27219,0.27226,0.26406999999999997,0.26865,0.27546,0.27011999999999997,0.28215999999999997,0.28885,0.29246,0.30409,0.31105,0.31763,0.32158000000000003,0.31549,0.29946,0.2387,0.12028,0.06060599999999999,0.13924,0.17354,0.18415,0.18741,0.18062,0.13885,0.1435,0.21136,0.22025,0.29833000000000004,0.33111,0.33821,0.40685,0.41221,0.24133000000000002,0.2883,0.2643,0.2779,0.25884,0.24356,0.24068,0.1541,0.20546999999999999,0.31513,0.31513,0.31513
Armenia,ARM,Coal,GCP,CO2,0.8955,0.83878,0.79155,0.79951,0.8046800000000001,0.8174,0.83234,0.81626,0.78692,0.78427,0.8405799999999999,0.8356,0.8496799999999999,0.84235,0.82744,0.8439,0.8634,0.87064,0.8486899999999999,0.85016,0.9026299999999999,0.7913,0.8022199999999999,0.79177,0.7855800000000001,0.9192,0.98888,0.98631,0.8648600000000001,0.81558,0.69584,0.60565,0.37373,0.007338600000000001,0.095264,0.007328,0.014656,0.014656,0.01464,0.007328,,,0.047574,0.07328,,,0.003664,0.0073334,0.007328,,0.003664,0.007328,0.007328,0.003664,0.0036616,0.0036615000000000003,0.0036666,0.003664,0.003664,0.0034000999999999997,0.004359
Armenia,ARM,Gas,GCP,CO2,0.40388,0.49866000000000005,0.58822,0.70095,0.8321700000000001,0.9456100000000001,1.0322,1.0991,1.16,1.2195,1.1358,1.2516,1.2988,1.3469,1.3991,1.5114,1.6558,1.7619999999999998,1.8119,1.9289,2.0285,2.1033,2.2265,2.376,2.5674,2.8949,2.6525,3.1755,4.2349,4.6160000000000005,4.1989,3.4785,3.4771,1.5081,1.6158,2.6161,2.0408,2.6784,2.7889,2.2753,2.5648,2.6124,2.0018,2.2277,2.4732,3.0631,3.14,3.762,4.122,3.1694,2.9532,3.7556,4.5653,4.4188,4.4928,4.4268,4.2386,4.4591,4.6789,4.428999999999999,4.8727
Armenia,ARM,Gas flaring,GCP,CO2,,,,,,,,,,,,0.094333,0.089003,0.10384000000000002,0.11169000000000001,0.12282,0.13588,0.14559,0.15338,0.083216,0.08411,0.080827,0.080455,0.078699,0.077435,0.08480599999999999,0.074209,0.068062,0.14969000000000002,0.14595999999999998,0.096559,0.089827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Oil,GCP,CO2,1.8880000000000001,1.9455,2.0632,2.1975,2.2998,2.4078,2.5346,2.6875,2.7897,2.9356,3.216,3.3372,3.5758,3.7697,3.9584,4.1424,4.227,4.3435,4.5667,4.5897,4.7341,4.6273,4.6487,4.6191,4.5052,4.671,4.4196,3.8284,3.8579,3.6239,3.6555,2.8148,1.7734,0.93934,0.94165,0.67051,0.3664,0.39205,0.40626,0.58624,0.78776,0.77677,0.81608,0.93432,0.91966,0.98195,0.91966,0.92401,1.0332,0.9526399999999999,1.0076,0.94165,0.8976799999999999,0.8537100000000001,0.86413,0.7982100000000001,0.80665,0.8683700000000001,0.82806,0.7811899999999999,0.69807
Armenia,ARM,Total fossil fuels and cement,GCP,CO2,3.2769,3.3832,3.5561,3.8185,4.0651,4.3142,4.5577,4.7711,4.9106,5.1182,5.3823,5.7216,6.0271,6.2904,6.5394,6.8813,7.1479,7.3938,7.6529,7.716,8.017999999999999,7.8782,8.027999999999999,8.1478,8.2244,8.8623,8.4393,8.3693,9.425,9.523,8.9623,7.2883,5.8629,2.575,2.7133,3.4332,2.5954,3.2692,3.3972,3.0495,3.4914,3.5327,3.0768,3.4556,3.6912,4.3762,4.4016,5.1002,5.5748,4.3633,4.2527,4.9689,5.7483,5.535,5.6041,5.4693,5.202999999999999,5.5366,5.8258,5.5288,5.8903
Australia,AUS,Cement,GCP,CO2,1.381,1.4138,1.4501,1.5409,1.7916,1.8789,1.8171,1.8898,1.9407,2.1297,2.2278,2.3145,2.4375,2.593,2.5706,2.4756,2.4968,2.4781,2.463,2.5857,2.6575,2.9614,2.8302,2.3839,2.6912,2.9006,2.918,2.8884,3.1482,3.3935,3.4779,3.2097,2.9419999999999997,3.0302,3.5601,3.391,3.2899,3.2525,3.5235,3.5519,3.6435,3.5738,3.5415,3.6224,3.5913,3.6779,3.9367,3.9944,3.9147,3.775,3.5436,3.5086,3.488,3.2554,3.1798,3.0898,2.9663,3.0202,2.9465,3.0246,3.0246
